[Log] stdout/stderr -> logs/main_tracking_v9_20260422_210416.log
[Init] Connecting to Gimbal at /dev/ttyUSB0...
[GPS] Thread started, waiting for one valid fix on /dev/ttyUSB2@115200, timeout=60s[GT06Z] Driver Ready on /dev/ttyUSB0.
[Adapter] GT06Z 云台已连接: /dev/ttyUSB0

[GPS] Attempt 1: searching satellites and waiting for valid latitude/longitude...
[GPS] raw line: ,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,,$GNGGA,130417.00,,,,,0,00,9999.0,,,,,,*48
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130417.00,V,,,,,,,220426,0.0,E,N,V*72
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[LaserThread] 激光读取线程已启动[Init] Real laser enabled on /dev/ttyUSB1

[Init] Queue gimbal initial posture: Az=90.00°, El=0.00°
[Laser] start_measurement mode=continuous
[GimbalThread] 控制线程已启动
=== System V9.0 (Predictive Tracking & Scheduling) Running ===[Net] Listening RK3588 on 8888...

[GimbalCmd] cmd_id=0, track_id=-1, target_ctrl=(Az=90.00°, El=0.00°)
[GimbalAtt] cmd_id=0, elapsed=0.329s, actual_ctrl=(Az=90.00°, El=-0.00°), actual_ui=(Az=0.00°, El=-0.00°), target_ctrl=(Az=90.00°, El=0.00°), err=(dAz=0.00°, dEl=0.00°)
[GimbalSettled] cmd_id=0, track_id=-1, settle_time=0.329s, actual_ctrl=(Az=90.00°, El=-0.00°), target_ctrl=(Az=90.00°, El=0.00°), err=(dAz=0.00°, dEl=0.00°)
[Laser] No valid laser distance, use mono distance
[GPS] raw line: $GNGGA,130418.00,,,,,0,00,9999.0,,,,,,*47
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130418.00,V,,,,,,,220426,0.0,E,N,V*7D
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130419.00,,,,,0,00,9999.0,,,,,,*46
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130419.00,V,,,,,,,220426,0.0,E,N,V*7C
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130420.00,,,,,0,00,9999.0,,,,,,*4C
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130420.00,V,,,,,,,220426,0.0,E,N,V*76
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130421.00,,,,,0,00,9999.0,,,,,,*4D
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130421.00,V,,,,,,,220426,0.0,E,N,V*77
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130422.00,,,,,0,00,9999.0,,,,,,*4E
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130422.00,V,,,,,,,220426,0.0,E,N,V*74
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130423.00,,,,,0,00,9999.0,,,,,,*4F
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130423.00,V,,,,,,,220426,0.0,E,N,V*75
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130424.00,,,,,0,00,9999.0,,,,,,*48
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130424.00,V,,,,,,,220426,0.0,E,N,V*72
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130425.00,,,,,0,00,9999.0,,,,,,*49
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130425.00,V,,,,,,,220426,0.0,E,N,V*73
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130426.00,,,,,0,00,9999.0,,,,,,*4A
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130426.00,V,,,,,,,220426,0.0,E,N,V*70
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130427.00,,,,,0,00,9999.0,,,,,,*4B
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130427.00,V,,,,,,,220426,0.0,E,N,V*71
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130428.00,,,,,0,00,9999.0,,,,,,*44
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130428.00,V,,,,,,,220426,0.0,E,N,V*7E
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130429.00,,,,,0,00,9999.0,,,,,,*45
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130429.00,V,,,,,,,220426,0.0,E,N,V*7F
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130430.00,,,,,0,00,9999.0,,,,,,*4D
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130430.00,V,,,,,,,220426,0.0,E,N,V*77
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130431.00,,,,,0,00,9999.0,,,,,,*4C
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130431.00,V,,,,,,,220426,0.0,E,N,V*76
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130432.00,,,,,0,00,9999.0,,,,,,*4F
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130432.00,V,,,,,,,220426,0.0,E,N,V*75
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130433.00,,,,,0,00,9999.0,,,,,,*4E
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130433.00,V,,,,,,,220426,0.0,E,N,V*74
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130434.00,,,,,0,00,9999.0,,,,,,*49
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130434.00,V,,,,,,,220426,0.0,E,N,V*73
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130435.00,,,,,0,00,9999.0,,,,,,*48
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130435.00,V,,,,,,,220426,0.0,E,N,V*72
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130436.00,,,,,0,00,9999.0,,,,,,*4B
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130436.00,V,,,,,,,220426,0.0,E,N,V*71
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130437.00,,,,,0,00,9999.0,,,,,,*4A
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130437.00,V,,,,,,,220426,0.0,E,N,V*70
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130438.00,,,,,0,00,9999.0,,,,,,*45
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130438.00,V,,,,,,,220426,0.0,E,N,V*7F
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130439.00,,,,,0,00,9999.0,,,,,,*44
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130439.00,V,,,,,,,220426,0.0,E,N,V*7E
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130440.00,,,,,0,00,9999.0,,,,,,*4A
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130440.00,V,,,,,,,220426,0.0,E,N,V*70
